time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
0.583,-0.20316189,-0.049590204,-0.049510131,0.06462,0.9126286,0.04067,0.151380045,0.139751914,0,-0.230781869,0.417265482,0.675740427,-0.060713935,0,-0.483405152,0.20382442,-0.0872665
0.592,-0.205102745,-0.04913298,-0.049877149,0.06751,0.91207162,0.0402,0.15131166,0.138697084,0,-0.233739712,0.421267323,0.674320591,-0.059507969,0,-0.465630368,0.203366868,-0.0872665
0.6,-0.205651032,-0.048572597,-0.050113953,0.07083,0.91177056,0.0395,0.148503697,0.137020192,0,-0.235354306,0.424465509,0.670413013,-0.057579417,0,-0.449515114,0.203651505,-0.0872665
0.608,-0.207513678,-0.048373635,-0.050058611,0.07392,0.91123218,0.03888,0.147561854,0.135880454,0,-0.237239811,0.427492306,0.668495212,-0.056008694,0,-0.435405105,0.203992746,-0.0872665
0.617,-0.208520335,-0.04732612,-0.050120756,0.0775,0.91061176,0.03809,0.146028251,0.133637328,0,-0.240923568,0.432670753,0.664943729,-0.05356638,0,-0.422567535,0.204233766,-0.0872665
0.625,-0.209161101,-0.046424269,-0.04957295,0.08121,0.91010851,0.03715,0.14465924,0.131355374,0,-0.246268962,0.43722264,0.66051437,-0.050850642,0,-0.410116444,0.200770256,-0.0872665
0.633,-0.210528457,-0.047404806,-0.048863431,0.08498,0.90951854,0.03666,0.142704553,0.13171105,0,-0.249096082,0.438762695,0.658322546,-0.050610712,0,-0.402934078,0.201544826,-0.0872665
0.642,-0.210294517,-0.046750104,-0.047300057,0.08906,0.90915269,0.03568,0.137898041,0.129490692,0,-0.24992333,0.440883542,0.653328409,-0.047104865,0,-0.396847154,0.202345791,-0.0872665
0.65,-0.210169073,-0.046627915,-0.046983982,0.09327,0.90857936,0.0349,0.133939011,0.128219691,0,-0.252511386,0.444409378,0.648521607,-0.044877382,0,-0.393516916,0.202858739,-0.0872665
0.658,-0.209887509,-0.046509817,-0.046227235,0.09763,0.90805966,0.03404,0.129729194,0.126794581,0,-0.255333791,0.448330315,0.643304782,-0.042544284,0,-0.392022724,0.201827214,-0.0872665
0.667,-0.209463219,-0.047074704,-0.045851911,0.10215,0.90752617,0.0333,0.125599243,0.126364688,0,-0.258883439,0.449184448,0.63883246,-0.041220449,0,-0.394611351,0.200775301,-0.0872665
0.675,-0.208729366,-0.047195404,-0.045615226,0.10681,0.90699495,0.0324,0.121467243,0.125222243,0,-0.263271313,0.450522036,0.633642464,-0.039123643,0,-0.397758268,0.199816429,-0.0872665
0.683,-0.207827214,-0.047230175,-0.045172771,0.11159,0.90658597,0.03146,0.11732023,0.123885347,0,-0.268371827,0.452021338,0.627904112,-0.036767328,0,-0.4010928,0.198254925,-0.0872665
0.692,-0.207162673,-0.047140555,-0.044975152,0.11653,0.90630777,0.03059,0.113208789,0.122574475,0,-0.273623172,0.453540952,0.622613796,-0.034774303,0,-0.404252904,0.196413809,-0.0872665
0.7,-0.207057551,-0.047147816,-0.043536067,0.12125,0.90605815,0.02958,0.110183487,0.12126871,0,-0.279427275,0.454902495,0.618946008,-0.032168741,0,-0.406974813,0.195932686,-0.0872665
0.708,-0.207317484,-0.045698585,-0.045160971,0.12554,0.90595558,0.02862,0.112695807,0.118450422,0,-0.294642351,0.45992758,0.61617768,-0.029491074,0,-0.410238952,0.199774764,-0.0872665
0.717,-0.208055692,-0.045670351,-0.044519464,0.12968,0.90580657,0.02765,0.114631186,0.117400599,0,-0.306656952,0.459184257,0.61691536,-0.027763733,0,-0.417848572,0.202834558,-0.0872665
0.725,-0.207140459,-0.045747453,-0.042872826,0.13467,0.90587451,0.02673,0.111636761,0.116581626,0,-0.31417211,0.458094742,0.613637773,-0.026085217,0,-0.422802923,0.204309484,-0.0872665
0.733,-0.208728455,-0.045469514,-0.043993192,0.13892,0.90544036,0.02579,0.118493674,0.115145071,0,-0.335403226,0.461378171,0.61512805,-0.025293583,0,-0.432466101,0.212451025,-0.0872665
0.742,-0.207747873,-0.045601878,-0.042734883,0.14407,0.90578682,0.02472,0.114501362,0.113799309,0,-0.341743359,0.459365569,0.610648206,-0.023912201,0,-0.437055032,0.211760907,-0.0872665
0.75,-0.207499597,-0.044893363,-0.043441222,0.14898,0.90595379,0.0236,0.114311111,0.111476176,0,-0.353816216,0.453182257,0.608459714,-0.022301807,0,-0.445484239,0.215083456,-0.0872665
0.758,-0.207857166,-0.045233546,-0.04285568,0.1537,0.9059294,0.02272,0.116704531,0.110766305,0,-0.369924487,0.449467768,0.608292461,-0.021683761,0,-0.455714802,0.220379754,-0.0872665
0.767,-0.207285553,-0.044907685,-0.043581754,0.15872,0.90622862,0.02166,0.118506512,0.108977815,0,-0.386923311,0.446716157,0.604739085,-0.020642684,0,-0.462242075,0.224113304,-0.0872665
0.775,-0.206186609,-0.044646919,-0.043491344,0.16396,0.90667344,0.02042,0.118182094,0.106963981,0,-0.400771579,0.440545184,0.599646019,-0.019055289,0,-0.467229965,0.227067805,-0.0872665
0.783,-0.206517881,-0.044599785,-0.044713765,0.16885,0.90699858,0.01937,0.123372075,0.105181157,0,-0.42242249,0.435355177,0.595003551,-0.018259432,0,-0.469619098,0.233543244,-0.0872665
0.792,-0.206823447,-0.044015648,-0.046214986,0.17356,0.90748938,0.01817,0.129527391,0.102580676,0,-0.445159335,0.427019808,0.590200455,-0.016591174,0,-0.471357258,0.239446885,-0.0872665
0.8,-0.207335147,-0.043684322,-0.046963706,0.1781,0.90790837,0.0169,0.136140325,0.100285503,0,-0.467527834,0.417811978,0.586424243,-0.014828672,0,-0.473996988,0.24600745,-0.0872665
0.808,-0.207304815,-0.043360473,-0.047579048,0.18302,0.90839144,0.01557,0.141985167,0.098101118,0,-0.489370153,0.410880015,0.58090291,-0.012694204,0,-0.475629029,0.254170063,-0.0872665
0.817,-0.206338019,-0.042534134,-0.048887474,0.18814,0.90907673,0.01428,0.147123168,0.095143753,0,-0.51147987,0.402920615,0.572854966,-0.010166943,0,-0.475588137,0.260362389,-0.0872665
0.825,-0.207303363,-0.041811187,-0.051176632,0.1925,0.90963748,0.01302,0.159775876,0.092179545,0,-0.543858125,0.393195344,0.566623121,-0.008168566,0,-0.473058007,0.268560412,-0.0872665
0.833,-0.207866302,-0.04090418,-0.053709046,0.19693,0.91007585,0.01166,0.172584386,0.088935137,0,-0.577667587,0.382639882,0.560853746,-0.006050475,0,-0.472600172,0.276488311,-0.0872665
0.842,-0.208571404,-0.04026281,-0.055280986,0.20134,0.9103771,0.01038,0.185312346,0.086413773,0,-0.609464363,0.37161041,0.556000859,-0.004058382,0,-0.473677671,0.28339394,-0.0872665
0.85,-0.208518384,-0.039305385,-0.056255328,0.20599,0.9108557,0.00894,0.197043065,0.083062813,0,-0.640522576,0.356941988,0.548347297,-0.001317726,0,-0.470887485,0.289659463,-0.0872665
0.858,-0.208831786,-0.0383239,-0.058667294,0.21047,0.91122911,0.00765,0.211963357,0.079803596,0,-0.676259681,0.338387342,0.541925937,0.000775922,0,-0.469363941,0.295385494,-0.0872665
0.867,-0.20838997,-0.037286084,-0.060917188,0.21522,0.91163254,0.00639,0.226047252,0.076652619,0,-0.712521829,0.317120296,0.534109077,0.002970457,0,-0.467431356,0.301365569,-0.0872665
0.875,-0.20878981,-0.036821027,-0.062511058,0.21976,0.91174915,0.00516,0.242515217,0.074418647,0,-0.751016907,0.294976991,0.529189054,0.00468509,0,-0.469124274,0.30872718,-0.0872665
0.883,-0.209119212,-0.035823114,-0.065023587,0.22412,0.91196992,0.00413,0.260057284,0.07178197,0,-0.789625682,0.272963067,0.524195782,0.006403581,0,-0.470673093,0.314291181,-0.0872665
0.892,-0.208826565,-0.033952838,-0.067402007,0.22864,0.91230776,0.00274,0.277376541,0.067399225,0,-0.828079423,0.250844371,0.516508012,0.009763079,0,-0.467981724,0.319327545,-0.0872665
0.9,-0.209132779,-0.03262813,-0.06879081,0.23309,0.91235068,0.00119,0.296202349,0.06332255,0,-0.868191101,0.231028726,0.510689654,0.013026301,0,-0.467344336,0.32548486,-0.0872665
0.908,-0.209097931,-0.030903944,-0.070770789,0.23757,0.91255599,-0.00016,0.315134321,0.058955745,0,-0.908537758,0.210378778,0.503858398,0.016217832,0,-0.465851414,0.330971455,-0.0872665
0.917,-0.210188772,-0.029103654,-0.073508296,0.24154,0.91248303,-0.00128,0.338257497,0.054905432,0,-0.952811022,0.187769301,0.497892895,0.018932593,0,-0.462287895,0.337356475,-0.0872665
0.925,-0.20977338,-0.026449472,-0.075480085,0.24602,0.91267488,-0.00295,0.359871134,0.048934113,0,-0.996640319,0.159625903,0.489689239,0.023807238,0,-0.458601198,0.344766613,-0.0872665
0.933,-0.210789674,-0.024906356,-0.07702054,0.24983,0.9123761,-0.00423,0.384827099,0.045104028,0,-1.041229733,0.137400412,0.485533276,0.026925613,0,-0.458260138,0.35251766,-0.0872665
0.942,-0.21097788,-0.023411924,-0.078925796,0.25396,0.91235508,-0.00544,0.407710652,0.040756101,0,-1.081114387,0.108245811,0.479355385,0.029861074,0,-0.456591036,0.359655749,-0.0872665
0.95,-0.210620857,-0.020529732,-0.080393737,0.25825,0.9123048,-0.00691,0.43003464,0.033810122,0,-1.119804593,0.079473562,0.471547114,0.034792499,0,-0.452901933,0.366298679,-0.0872665
0.958,-0.211229959,-0.018355434,-0.081654702,0.2623,0.91199869,-0.00815,0.454406358,0.028808588,0,-1.158670827,0.061162028,0.465727382,0.038716881,0,-0.451084725,0.374277149,-0.0872665
0.967,-0.211254543,-0.015558468,-0.082704284,0.26631,0.91186215,-0.00947,0.478134001,0.023211097,0,-1.194837979,0.054977278,0.457766581,0.043391556,0,-0.445342453,0.379354291,-0.0872665
0.975,-0.211089559,-0.011898596,-0.085038372,0.27018,0.91174607,-0.01082,0.502531446,0.016096072,0,-1.229221733,0.049285915,0.449835401,0.04872186,0,-0.439538727,0.38226177,-0.0872665
0.983,-0.210354083,-0.007980137,-0.088384783,0.27445,0.9118168,-0.01217,0.524550958,0.00820576,0,-1.259153589,0.050442973,0.440120537,0.054379452,0,-0.43278318,0.390762967,-0.0872665
0.992,-0.209902672,-0.004815945,-0.090814421,0.27872,0.91182915,-0.01355,0.547123975,0.001410048,0,-1.285327807,0.054622255,0.431236236,0.059381986,0,-0.426983283,0.396980743,-0.0872665
1,-0.209384774,-0.001778995,-0.091144622,0.283,0.9118409,-0.01501,0.568073609,-0.005964586,0,-1.306696847,0.063806184,0.422739926,0.064878344,0,-0.421679016,0.401513845,-0.0872665
1.008,-0.208713984,0.000801598,-0.091473701,0.2872,0.911999,-0.01623,0.587909138,-0.012275741,0,-1.324001896,0.07268514,0.413328734,0.069703618,0,-0.414554612,0.405552077,-0.0872665
1.017,-0.208544657,0.002609116,-0.090475842,0.29112,0.91189117,-0.01725,0.608467965,-0.016771894,0,-1.338064207,0.078492743,0.406405643,0.073669017,0,-0.410800418,0.412559297,-0.0872665
1.025,-0.208677947,0.004018102,-0.090462355,0.29531,0.91206133,-0.01816,0.627314266,-0.020234317,0,-1.346548429,0.083878041,0.398656453,0.076816642,0,-0.40542415,0.41671362,-0.0872665
1.033,-0.208544557,0.005462403,-0.089536513,0.29968,0.91230312,-0.01914,0.645495226,-0.024757022,0,-1.354273068,0.089765222,0.390135989,0.080212897,0,-0.399068291,0.419779153,-0.0872665
1.042,-0.208774832,0.004889088,-0.087335861,0.3037,0.9126117,-0.01957,0.663754607,-0.026116803,0,-1.357599129,0.092729311,0.383182885,0.080943015,0,-0.394710273,0.421643034,-0.0872665
1.05,-0.208486495,0.007114787,-0.089720356,0.30809,0.91269328,-0.02016,0.68133702,-0.028926666,0,-1.357134149,0.105067014,0.373408639,0.084352785,0,-0.387261524,0.428564916,-0.0872665
1.058,-0.209152519,0.007074415,-0.088390786,0.31209,0.91272028,-0.02055,0.70113779,-0.029435971,0,-1.351780495,0.114374155,0.368388243,0.085312933,0,-0.385532028,0.429777902,-0.0872665
1.067,-0.209918809,0.007388399,-0.086025999,0.31618,0.91281315,-0.02106,0.717346184,-0.030187218,0,-1.343692713,0.123880788,0.364358845,0.086998388,0,-0.385615801,0.430964761,-0.0872665
1.075,-0.209722308,0.007463199,-0.081947047,0.32062,0.91302159,-0.02164,0.730145183,-0.031287575,0,-1.330729342,0.130870517,0.359005964,0.089182277,0,-0.385979028,0.43389968,-0.0872665
1.083,-0.209786685,0.006837789,-0.078995411,0.32515,0.9130601,-0.02195,0.74336577,-0.031110535,0,-1.316149975,0.133091484,0.353436976,0.089995169,0,-0.385883371,0.435666851,-0.0872665
1.092,-0.210843841,0.006274199,-0.076682214,0.32926,0.91314634,-0.02219,0.757395679,-0.029980417,0,-1.298147834,0.139685225,0.349592663,0.09027502,0,-0.387429061,0.436246588,-0.0872665
1.1,-0.21188162,0.005471208,-0.076333227,0.33328,0.91294973,-0.02223,0.769853601,-0.028113348,0,-1.277052947,0.153286506,0.345695279,0.089871817,0,-0.387339529,0.443350291,-0.0872665
