time,pelvis_tilt,pelvis_tilt_vel,pelvis_list,pelvis_list_vel,pelvis_rotation,pelvis_rotation_vel,pelvis_tx,pelvis_tx_vel,pelvis_ty,pelvis_ty_vel,pelvis_tz,pelvis_tz_vel,hip_flexion_r,hip_flexion_r_vel,hip_adduction_r,hip_adduction_r_vel,hip_rotation_r,hip_rotation_r_vel,knee_angle_r,knee_angle_r_vel,ankle_angle_r,ankle_angle_r_vel,hip_flexion_l,hip_flexion_l_vel,hip_adduction_l,hip_adduction_l_vel,hip_rotation_l,hip_rotation_l_vel,knee_angle_l,knee_angle_l_vel,ankle_angle_l,ankle_angle_l_vel,lumbar_extension,lumbar_extension_vel
0.200,-0.128,-0.120,-0.060,-0.047,-0.040,-0.054,0.006,0.014,0.923,-0.028,0.037,0.085,0.167,0.160,0.147,0.154,0.000,0.000,-0.274,-0.148,0.379,0.050,0.328,1.497,-0.096,-0.097,0.000,0.000,-0.627,-2.528,0.392,-1.212,-0.087,0.000
0.208,-0.129,-0.109,-0.060,0.032,-0.040,-0.145,0.007,0.008,0.923,-0.022,0.038,0.092,0.168,0.289,0.148,0.093,0.000,0.000,-0.275,-0.403,0.379,0.165,0.340,1.496,-0.096,-0.044,0.000,0.000,-0.647,-2.578,0.382,-1.927,-0.087,0.000
0.217,-0.130,-0.004,-0.060,-0.031,-0.041,-0.034,0.007,0.066,0.923,-0.017,0.039,0.090,0.170,-0.203,0.149,0.156,0.000,0.000,-0.278,0.270,0.381,0.127,0.352,1.382,-0.097,-0.111,0.000,0.000,-0.667,-2.701,0.367,-0.984,-0.087,0.000
0.225,-0.130,-0.197,-0.060,0.035,-0.042,-0.133,0.007,0.023,0.923,-0.029,0.040,0.077,0.169,0.263,0.150,0.072,0.000,0.000,-0.276,-0.181,0.382,0.108,0.363,1.669,-0.098,-0.005,0.000,0.000,-0.689,-2.691,0.359,-1.584,-0.087,0.000
0.233,-0.131,-0.257,-0.060,0.028,-0.043,-0.074,0.007,0.000,0.922,-0.041,0.040,0.073,0.171,0.423,0.150,0.080,0.000,0.000,-0.278,-0.365,0.382,0.301,0.376,1.960,-0.098,-0.011,0.000,0.000,-0.711,-2.976,0.346,-2.031,-0.087,0.000
0.242,-0.133,0.009,-0.060,-0.051,-0.043,0.084,0.007,0.079,0.922,-0.016,0.041,0.076,0.174,-0.264,0.151,0.148,0.000,0.000,-0.280,0.252,0.385,0.118,0.392,1.691,-0.098,-0.071,0.000,0.000,-0.734,-3.239,0.330,-1.280,-0.087,0.000
0.250,-0.133,-0.218,-0.060,0.031,-0.043,-0.229,0.008,0.011,0.922,-0.017,0.041,0.080,0.172,0.364,0.152,0.080,0.000,0.000,-0.278,-0.347,0.386,-0.016,0.405,2.035,-0.098,0.005,0.000,0.000,-0.760,-3.249,0.320,-3.070,-0.087,0.000
0.258,-0.135,-0.135,-0.060,0.099,-0.044,-0.066,0.008,0.059,0.922,-0.023,0.042,0.059,0.175,-0.182,0.153,-0.012,0.000,0.000,-0.281,0.604,0.386,0.369,0.422,1.811,-0.098,0.075,0.000,0.000,-0.786,-2.914,0.295,-1.214,-0.087,0.000
0.267,-0.136,-0.097,-0.059,0.157,-0.045,-0.136,0.008,0.058,0.922,-0.006,0.042,0.045,0.173,-0.010,0.153,-0.094,0.000,0.000,-0.276,0.169,0.389,0.306,0.436,1.674,-0.098,0.139,0.000,0.000,-0.810,-2.704,0.286,-2.305,-0.087,0.000
0.275,-0.137,-0.143,-0.058,-0.068,-0.046,-0.110,0.009,0.068,0.921,-0.019,0.043,0.071,0.173,0.005,0.152,0.160,0.000,0.000,-0.275,0.078,0.391,-0.306,0.449,1.793,-0.097,-0.118,0.000,0.000,-0.831,-2.952,0.267,-1.201,-0.087,0.000
0.283,-0.138,-0.079,-0.058,-0.010,-0.047,-0.034,0.009,0.091,0.921,-0.007,0.043,0.069,0.173,-0.128,0.153,0.090,0.000,0.000,-0.274,0.104,0.389,-0.354,0.464,1.603,-0.098,-0.004,0.000,0.000,-0.855,-2.765,0.258,-2.041,-0.087,0.000
0.292,-0.139,-0.121,-0.058,0.033,-0.047,-0.103,0.010,0.079,0.921,-0.014,0.044,0.061,0.172,-0.005,0.154,0.047,0.000,0.000,-0.274,0.054,0.386,-0.153,0.477,1.632,-0.098,0.012,0.000,0.000,-0.877,-2.344,0.241,-2.206,-0.087,0.000
0.300,-0.139,-0.127,-0.058,0.072,-0.048,0.018,0.011,0.093,0.921,-0.020,0.044,0.020,0.172,-0.209,0.154,-0.072,0.000,0.000,-0.273,0.452,0.385,0.084,0.490,1.614,-0.097,0.151,0.000,0.000,-0.896,-2.098,0.224,-0.170,-0.087,0.000
0.308,-0.140,-0.235,-0.058,-0.014,-0.048,-0.057,0.012,0.073,0.921,-0.027,0.045,0.051,0.171,-0.102,0.154,0.078,0.000,0.000,-0.270,0.536,0.385,0.141,0.503,1.756,-0.096,-0.035,0.000,0.000,-0.912,-1.809,0.222,-0.098,-0.087,0.000
0.317,-0.142,-0.203,-0.058,-0.018,-0.048,-0.075,0.012,0.067,0.921,-0.016,0.045,0.055,0.170,-0.080,0.154,0.110,0.000,0.000,-0.265,0.429,0.386,0.069,0.517,1.626,-0.097,-0.021,0.000,0.000,-0.927,-1.391,0.221,0.355,-0.087,0.000
0.325,-0.144,-0.096,-0.058,0.018,-0.049,-0.150,0.013,0.091,0.921,-0.005,0.045,0.055,0.169,-0.204,0.155,0.057,0.000,0.000,-0.262,0.339,0.387,0.036,0.530,1.360,-0.097,0.034,0.000,0.000,-0.938,-1.087,0.224,0.591,-0.087,0.000
0.333,-0.145,-0.147,-0.058,0.011,-0.050,-0.055,0.013,0.081,0.921,-0.017,0.046,0.026,0.167,-0.130,0.156,0.025,0.000,0.000,-0.259,0.322,0.387,-0.024,0.540,1.433,-0.096,0.063,0.000,0.000,-0.947,-0.893,0.229,0.539,-0.087,0.000
0.342,-0.146,-0.224,-0.058,-0.004,-0.051,0.017,0.014,0.121,0.920,-0.014,0.046,0.031,0.166,-0.199,0.156,0.049,0.000,0.000,-0.257,0.557,0.387,-0.081,0.552,1.361,-0.096,0.049,0.000,0.000,-0.954,-0.458,0.233,0.411,-0.087,0.000
0.350,-0.148,-0.233,-0.058,0.012,-0.050,0.109,0.015,0.115,0.920,-0.016,0.046,0.024,0.165,-0.257,0.156,0.006,0.000,0.000,-0.252,0.718,0.386,-0.141,0.563,1.376,-0.096,0.098,0.000,0.000,-0.958,-0.243,0.237,0.289,-0.087,0.000
0.358,-0.150,-0.159,-0.058,-0.040,-0.050,0.046,0.016,0.123,0.920,-0.009,0.047,0.034,0.163,-0.358,0.156,0.078,0.000,0.000,-0.246,0.750,0.385,-0.209,0.574,1.230,-0.095,0.018,0.000,0.000,-0.959,-0.007,0.239,0.228,-0.087,0.000
0.367,-0.151,0.081,-0.058,-0.203,-0.049,0.323,0.017,0.220,0.920,0.008,0.047,0.038,0.160,-1.301,0.157,0.244,0.000,0.000,-0.240,1.958,0.384,-0.763,0.584,0.825,-0.095,-0.147,0.000,0.000,-0.960,0.377,0.241,0.400,-0.087,0.000
0.375,-0.150,-0.092,-0.059,0.000,-0.047,-0.102,0.019,0.223,0.920,-0.029,0.047,-0.004,0.150,-0.433,0.159,-0.012,0.000,0.000,-0.225,0.458,0.378,0.191,0.590,0.838,-0.096,0.084,0.000,0.000,-0.957,0.607,0.244,0.224,-0.087,0.000
0.383,-0.151,-0.152,-0.059,-0.047,-0.047,0.007,0.020,0.123,0.920,-0.025,0.047,0.029,0.146,-0.226,0.159,0.082,0.000,0.000,-0.221,0.433,0.379,0.105,0.597,1.046,-0.095,-0.026,0.000,0.000,-0.952,0.808,0.246,0.190,-0.087,0.000
0.392,-0.152,0.142,-0.060,0.022,-0.047,0.377,0.021,0.251,0.920,0.026,0.047,-0.023,0.144,-1.508,0.160,-0.098,0.000,0.000,-0.218,2.208,0.380,-0.730,0.605,0.513,-0.095,0.217,0.000,0.000,-0.945,1.277,0.247,0.853,-0.087,0.000
0.400,-0.151,-0.235,-0.060,-0.001,-0.044,0.092,0.023,0.150,0.920,-0.021,0.047,0.011,0.132,-0.116,0.159,0.018,0.000,0.000,-0.200,0.331,0.374,0.013,0.609,1.072,-0.094,0.091,0.000,0.000,-0.935,1.462,0.254,0.187,-0.087,0.000
0.408,-0.153,-0.144,-0.060,0.072,-0.044,0.270,0.025,0.211,0.920,0.010,0.047,-0.034,0.131,-0.918,0.159,-0.139,0.000,0.000,-0.197,1.726,0.374,-0.897,0.618,0.766,-0.093,0.345,0.000,0.000,-0.923,1.792,0.256,0.908,-0.087,0.000
0.417,-0.154,-0.264,-0.059,0.008,-0.041,0.074,0.026,0.151,0.920,-0.022,0.047,-0.023,0.124,0.126,0.158,-0.028,0.000,0.000,-0.183,-0.054,0.367,0.188,0.624,0.941,-0.090,0.179,0.000,0.000,-0.909,1.768,0.263,-0.120,-0.087,0.000
0.425,-0.156,-0.610,-0.059,0.228,-0.041,-0.450,0.028,0.034,0.920,-0.077,0.047,-0.043,0.125,2.386,0.158,-0.244,0.000,0.000,-0.184,-3.703,0.368,1.623,0.632,1.273,-0.089,0.319,0.000,0.000,-0.895,1.895,0.262,-0.598,-0.087,0.000
0.433,-0.161,-0.302,-0.057,0.072,-0.044,0.011,0.028,0.185,0.919,-0.020,0.046,-0.013,0.144,-0.032,0.156,-0.120,0.000,0.000,-0.213,0.246,0.381,0.037,0.642,0.665,-0.086,0.228,0.000,0.000,-0.880,2.284,0.257,-0.149,-0.087,0.000
0.442,-0.163,-0.216,-0.057,0.056,-0.044,0.101,0.029,0.210,0.919,-0.016,0.046,-0.004,0.144,-0.165,0.155,-0.076,0.000,0.000,-0.211,0.252,0.382,-0.017,0.647,0.538,-0.084,0.231,0.000,0.000,-0.861,2.409,0.256,-0.076,-0.087,0.000
0.450,-0.165,-0.270,-0.056,0.006,-0.044,0.053,0.031,0.206,0.919,-0.040,0.046,0.011,0.142,-0.101,0.154,0.015,0.000,0.000,-0.209,0.250,0.382,0.168,0.651,0.649,-0.082,0.097,0.000,0.000,-0.842,2.423,0.255,0.139,-0.087,0.000
0.458,-0.167,-0.129,-0.056,0.159,-0.043,0.083,0.033,0.256,0.919,-0.020,0.046,-0.061,0.142,-0.228,0.154,-0.267,0.000,0.000,-0.207,0.120,0.383,0.188,0.657,0.303,-0.082,0.392,0.000,0.000,-0.823,2.618,0.256,-0.098,-0.087,0.000
0.467,-0.168,-0.213,-0.055,0.062,-0.042,-0.086,0.035,0.246,0.918,-0.039,0.046,-0.030,0.140,-0.152,0.152,-0.109,0.000,0.000,-0.207,0.168,0.384,0.214,0.659,0.375,-0.079,0.196,0.000,0.000,-0.802,2.497,0.256,-0.693,-0.087,0.000
0.475,-0.170,-0.289,-0.054,-0.030,-0.043,0.118,0.037,0.235,0.918,-0.043,0.046,-0.020,0.139,0.075,0.151,0.017,0.000,0.000,-0.205,-0.094,0.386,0.150,0.662,0.444,-0.077,0.140,0.000,0.000,-0.782,2.771,0.250,-0.372,-0.087,0.000
0.483,-0.172,-0.380,-0.055,0.029,-0.042,0.066,0.039,0.206,0.918,-0.039,0.045,-0.026,0.139,0.349,0.151,-0.065,0.000,0.000,-0.206,-0.383,0.387,0.126,0.666,0.328,-0.076,0.208,0.000,0.000,-0.760,3.477,0.247,-0.022,-0.087,0.000
0.492,-0.175,-0.362,-0.054,0.123,-0.042,-0.162,0.040,0.205,0.917,-0.040,0.045,-0.040,0.142,0.176,0.151,-0.183,0.000,0.000,-0.209,-0.081,0.388,0.170,0.668,0.381,-0.074,0.178,0.000,0.000,-0.732,2.843,0.247,-0.619,-0.087,0.000
0.500,-0.178,-0.297,-0.053,0.099,-0.043,-0.124,0.042,0.234,0.917,-0.041,0.045,-0.036,0.143,0.004,0.149,-0.138,0.000,0.000,-0.210,0.048,0.390,0.243,0.671,0.229,-0.073,0.185,0.000,0.000,-0.709,3.045,0.242,-0.704,-0.087,0.000
0.508,-0.181,-0.309,-0.053,0.065,-0.044,-0.154,0.044,0.243,0.917,-0.048,0.045,-0.045,0.143,0.161,0.148,-0.118,0.000,0.000,-0.209,-0.266,0.392,0.295,0.673,0.193,-0.071,0.178,0.000,0.000,-0.685,3.055,0.236,-0.692,-0.087,0.000
0.517,-0.183,-0.305,-0.052,0.063,-0.045,-0.244,0.046,0.250,0.916,-0.064,0.044,-0.036,0.145,0.203,0.147,-0.109,0.000,0.000,-0.211,-0.403,0.394,0.428,0.675,0.255,-0.070,0.099,0.000,0.000,-0.660,2.727,0.231,-0.611,-0.087,0.000
0.525,-0.186,-0.230,-0.052,0.064,-0.047,-0.092,0.048,0.284,0.916,-0.066,0.044,-0.046,0.146,0.085,0.146,-0.129,0.000,0.000,-0.215,-0.430,0.397,0.519,0.677,0.173,-0.069,0.163,0.000,0.000,-0.638,2.624,0.226,-0.768,-0.087,0.000
0.533,-0.187,-0.236,-0.051,0.064,-0.048,0.110,0.050,0.320,0.915,-0.052,0.044,-0.086,0.147,-0.067,0.145,-0.206,0.000,0.000,-0.218,-0.172,0.402,0.344,0.678,-0.033,-0.068,0.282,0.000,0.000,-0.617,2.914,0.220,-0.509,-0.087,0.000
0.542,-0.189,-0.363,-0.051,0.013,-0.047,0.082,0.052,0.275,0.915,-0.049,0.043,-0.060,0.146,0.139,0.144,-0.094,0.000,0.000,-0.219,-0.174,0.404,0.226,0.678,-0.010,-0.065,0.165,0.000,0.000,-0.594,3.154,0.216,-0.501,-0.087,0.000
0.550,-0.192,-0.393,-0.050,-0.020,-0.046,-0.130,0.055,0.278,0.915,-0.048,0.042,-0.028,0.148,0.220,0.143,-0.006,0.000,0.000,-0.221,-0.302,0.406,0.199,0.678,0.024,-0.064,0.017,0.000,0.000,-0.569,2.964,0.212,-0.538,-0.087,0.000
0.558,-0.195,-0.318,-0.051,0.106,-0.047,-0.039,0.057,0.309,0.914,-0.044,0.042,-0.094,0.149,0.040,0.143,-0.256,0.000,0.000,-0.223,-0.152,0.408,0.362,0.678,-0.061,-0.064,0.287,0.000,0.000,-0.545,2.776,0.207,-0.378,-0.087,0.000
0.567,-0.198,-0.297,-0.050,-0.041,-0.048,-0.143,0.059,0.324,0.914,-0.072,0.041,-0.035,0.150,0.042,0.141,-0.002,0.000,0.000,-0.224,-0.321,0.411,0.425,0.677,-0.106,-0.062,-0.011,0.000,0.000,-0.523,2.482,0.204,-0.091,-0.087,0.000
0.575,-0.200,-0.355,-0.050,0.059,-0.049,-0.080,0.062,0.331,0.913,-0.071,0.041,-0.066,0.150,0.172,0.141,-0.141,0.000,0.000,-0.227,-0.472,0.414,0.402,0.677,-0.113,-0.062,0.139,0.000,0.000,-0.503,2.469,0.204,0.031,-0.087,0.000
0.583,-0.203,-0.243,-0.050,0.057,-0.050,-0.046,0.065,0.361,0.913,-0.070,0.041,-0.059,0.151,-0.009,0.140,-0.132,0.000,0.000,-0.231,-0.370,0.417,0.500,0.676,-0.177,-0.061,0.151,0.000,0.000,-0.483,2.222,0.204,-0.057,-0.087,0.000
0.592,-0.205,-0.069,-0.049,0.070,-0.050,-0.030,0.068,0.415,0.912,-0.038,0.040,-0.087,0.151,-0.351,0.139,-0.210,0.000,0.000,-0.234,-0.202,0.421,0.400,0.674,-0.488,-0.060,0.241,0.000,0.000,-0.466,2.014,0.203,0.036,-0.087,0.000
0.600,-0.206,-0.233,-0.049,0.025,-0.050,0.007,0.071,0.386,0.912,-0.067,0.040,-0.078,0.149,-0.118,0.137,-0.142,0.000,0.000,-0.235,-0.236,0.424,0.378,0.670,-0.240,-0.058,0.196,0.000,0.000,-0.450,1.764,0.204,0.043,-0.087,0.000
0.608,-0.208,-0.126,-0.048,0.131,-0.050,-0.008,0.074,0.448,0.911,-0.078,0.039,-0.099,0.148,-0.192,0.136,-0.280,0.000,0.000,-0.237,-0.460,0.427,0.647,0.668,-0.444,-0.056,0.305,0.000,0.000,-0.435,1.605,0.204,0.030,-0.087,0.000
0.617,-0.209,-0.080,-0.047,0.113,-0.050,0.068,0.078,0.464,0.911,-0.063,0.038,-0.118,0.146,-0.171,0.134,-0.285,0.000,0.000,-0.241,-0.668,0.433,0.569,0.665,-0.554,-0.054,0.339,0.000,0.000,-0.423,1.556,0.204,-0.433,-0.087,0.000
0.625,-0.209,-0.171,-0.046,-0.123,-0.050,0.089,0.081,0.471,0.910,-0.074,0.037,-0.061,0.145,-0.244,0.131,0.044,0.000,0.000,-0.246,-0.353,0.437,0.193,0.661,-0.274,-0.051,0.030,0.000,0.000,-0.410,0.898,0.201,0.097,-0.087,0.000
0.633,-0.211,0.029,-0.047,0.082,-0.049,0.195,0.085,0.510,0.910,-0.046,0.037,-0.123,0.143,-0.601,0.132,-0.278,0.000,0.000,-0.249,-0.103,0.439,0.265,0.658,-0.624,-0.051,0.438,0.000,0.000,-0.403,0.761,0.202,0.100,-0.087,0.000
0.642,-0.210,0.016,-0.047,0.015,-0.047,0.040,0.089,0.526,0.909,-0.072,0.036,-0.098,0.138,-0.495,0.129,-0.159,0.000,0.000,-0.250,-0.324,0.441,0.441,0.653,-0.601,-0.047,0.278,0.000,0.000,-0.397,0.416,0.202,0.064,-0.087,0.000
0.650,-0.210,0.035,-0.047,0.015,-0.047,0.095,0.093,0.545,0.909,-0.065,0.035,-0.108,0.134,-0.526,0.128,-0.178,0.000,0.000,-0.253,-0.353,0.444,0.490,0.649,-0.652,-0.045,0.292,0.000,0.000,-0.394,0.187,0.203,-0.129,-0.087,0.000
0.658,-0.210,0.053,-0.047,-0.071,-0.046,0.047,0.098,0.565,0.908,-0.067,0.034,-0.092,0.130,-0.516,0.127,-0.054,0.000,0.000,-0.255,-0.444,0.448,0.107,0.643,-0.559,-0.043,0.165,0.000,0.000,-0.392,-0.324,0.202,-0.131,-0.087,0.000
0.667,-0.209,0.092,-0.047,-0.015,-0.046,0.030,0.102,0.583,0.908,-0.066,0.033,-0.113,0.126,-0.517,0.126,-0.143,0.000,0.000,-0.259,-0.548,0.449,0.167,0.639,-0.649,-0.041,0.262,0.000,0.000,-0.395,-0.393,0.201,-0.120,-0.087,0.000
0.675,-0.209,0.113,-0.047,-0.004,-0.046,0.055,0.107,0.597,0.907,-0.051,0.032,-0.118,0.121,-0.518,0.125,-0.167,0.000,0.000,-0.263,-0.638,0.451,0.187,0.634,-0.717,-0.039,0.295,0.000,0.000,-0.398,-0.417,0.200,-0.195,-0.087,0.000
0.683,-0.208,0.083,-0.047,0.011,-0.045,0.025,0.112,0.618,0.907,-0.035,0.031,-0.109,0.117,-0.514,0.124,-0.164,0.000,0.000,-0.268,-0.656,0.452,0.190,0.628,-0.661,-0.037,0.249,0.000,0.000,-0.401,-0.395,0.198,-0.230,-0.087,0.000
0.692,-0.207,0.013,-0.047,-0.001,-0.045,0.180,0.117,0.590,0.906,-0.031,0.031,-0.126,0.113,-0.378,0.123,-0.163,0.000,0.000,-0.274,-0.726,0.454,0.170,0.623,-0.458,-0.035,0.326,0.000,0.000,-0.404,-0.340,0.196,-0.060,-0.087,0.000
0.700,-0.207,-0.032,-0.047,0.181,-0.044,-0.203,0.121,0.536,0.906,-0.013,0.030,-0.120,0.110,0.314,0.121,-0.352,0.000,0.000,-0.279,-1.902,0.455,0.628,0.619,-0.346,-0.032,0.335,0.000,0.000,-0.407,-0.408,0.196,0.480,-0.087,0.000
0.708,-0.207,-0.092,-0.046,0.004,-0.045,0.080,0.126,0.517,0.906,-0.019,0.029,-0.121,0.113,0.242,0.118,-0.131,0.000,0.000,-0.295,-1.502,0.460,-0.093,0.616,0.092,-0.029,0.216,0.000,0.000,-0.410,-0.951,0.200,0.382,-0.087,0.000
